timestamp,tt,rh,pp,ws,wd,sr,rr
2025-10-03T07:11:24.856535,28.37,78.9,996.6174,0.662,253.0,355.3,0.0
2025-10-03T07:11:26.859399,28.4,79.4,996.5603,1.057,243.5,421.8,0.0
2025-10-03T07:11:28.865390,28.64,79.1,996.4328,0.949,231.5,479.0,0.0
2025-10-03T07:11:30.867713,28.86,78.1,996.4064,1.307,228.8,551.3,0.0
2025-10-03T07:11:32.874439,28.78,77.0,996.3318,1.662,220.1,548.7,0.0
2025-10-03T07:11:46.538407,28.37,78.9,996.6174,0.662,253.0,355.3,0.0
2025-10-03T07:11:47.541113,28.4,79.4,996.5603,1.057,243.5,421.8,0.0
2025-10-03T07:11:48.547435,28.64,79.1,996.4328,0.949,231.5,479.0,0.0
2025-10-03T07:11:49.554030,28.86,78.1,996.4064,1.307,228.8,551.3,0.0
2025-10-03T07:11:50.560418,28.78,77.0,996.3318,1.662,220.1,548.7,0.0
2025-10-03T07:11:51.563304,29.04,76.6,996.201,1.766,219.5,654.4,0.0
2025-10-03T07:11:52.569949,29.13,76.2,996.1991,1.691,220.2,581.6,0.0
2025-10-03T07:11:53.574533,29.34,75.4,996.1188,1.46,226.9,563.2,0.0
2025-10-03T07:11:54.577441,29.32,74.9,996.0949,1.479,234.9,502.1,0.0
2025-10-03T07:11:55.583846,29.16,76.6,996.0642,1.216,226.1,454.3,0.0
2025-10-03T07:11:56.589503,29.16,76.2,995.9178,1.001,238.9,436.4,0.0
2025-10-03T07:11:57.597229,29.33,76.3,995.8062,1.536,241.8,552.2,0.0
2025-10-03T07:11:58.602014,29.39,72.5,995.6356,2.116,236.7,559.0,0.0
2025-10-03T07:11:59.610246,29.39,72.2,995.5834,1.945,242.3,526.4,0.0
2025-10-03T07:12:00.613178,29.52,72.7,995.5694,1.321,227.8,537.8,0.0
2025-10-03T07:12:01.616195,29.73,72.2,995.4383,1.31,234.9,532.8,0.0
2025-10-03T07:12:02.622007,29.92,69.7,995.2728,1.517,242.5,642.2,0.0
2025-10-03T07:12:03.628260,30.46,66.6,995.1598,1.769,241.8,662.5,0.0
2025-10-03T07:12:04.635055,30.38,66.7,995.0915,1.668,223.4,586.0,0.0
2025-10-03T07:12:05.641488,30.37,67.4,994.9928,1.469,230.1,654.8,0.0
2025-10-03T07:12:06.647829,30.72,66.8,994.8578,1.429,220.0,656.5,0.0
2025-10-03T07:12:07.654505,30.48,66.8,994.6938,1.045,222.0,431.6,0.0
2025-10-03T07:12:08.657493,30.14,67.5,994.6194,1.629,231.0,290.5,0.0
2025-10-03T07:12:09.660882,29.77,70.7,994.3754,1.388,227.2,271.4,0.0
2025-10-03T07:12:10.667056,29.64,72.0,994.2493,1.278,222.9,283.9,0.0
2025-10-03T07:12:11.670589,29.71,72.2,994.1505,1.434,226.1,302.9,0.0
2025-10-03T07:12:12.674717,29.59,71.8,993.9142,1.509,230.3,344.1,0.0
2025-10-03T07:12:13.678997,29.53,74.1,993.7744,1.453,227.1,346.6,0.0
2025-10-03T07:12:14.685364,29.49,75.7,993.6638,1.516,214.5,359.1,0.0
2025-10-03T07:12:15.692229,29.58,74.0,993.4931,1.826,206.2,412.0,0.0
2025-10-03T07:12:16.698605,29.77,73.2,993.3073,1.257,200.1,436.2,0.0
2025-10-03T07:12:17.702001,29.82,72.5,993.2142,1.298,208.1,437.0,0.0
2025-10-03T07:12:18.707469,29.92,72.3,993.2006,1.427,200.7,374.5,0.0
2025-10-03T07:12:19.715792,29.64,71.2,993.3018,1.424,207.8,362.1,0.0
2025-10-03T07:12:20.719772,29.44,71.7,993.357,0.852,214.2,326.4,0.0
2025-10-03T07:12:21.723677,29.52,72.9,993.3811,1.097,197.8,243.7,0.0
2025-10-03T07:12:22.729742,29.24,73.6,993.1398,1.239,219.1,207.7,0.0
2025-10-03T07:12:23.735792,28.92,74.3,993.0918,1.379,216.4,183.4,0.0
2025-10-03T07:12:24.740891,28.84,75.4,993.2994,1.154,212.1,156.9,0.0
